dataset,method,feature_index,feature,n_real,n_synthetic,real_mean,synthetic_mean,mean_difference,t_statistic,p_value,ks_statistic,p_below_0_05
HIV,Column-wise,41,V5_Saliva_IgAspike,91,91,84.73729122602023,77.67667179317264,-7.060619432847588,0.8403622285737096,0.401834176497494,0.1538461538461538,False
HIV,Column-wise,42,V5_Saliva_IgARBD,91,91,83.34017392108728,81.60172257711599,-1.738451343971292,0.1862460589234276,0.8524621982142386,0.0769230769230769,False
HIV,Column-wise,43,V8_Saliva_IgAspike,91,91,51.38416520219583,56.04916367688022,4.664998474684388,-0.7965184545915511,0.4268028236210094,0.0769230769230769,False
HIV,Column-wise,44,V8_Saliva_IgARBD,91,91,57.968210541285,66.39521269745879,8.427002156173785,-0.9172302476755632,0.3603419579057215,0.0989010989010989,False
HIV,Column-wise,45,V8b_Saliva_IgAspike,91,91,46.93521012447693,46.31801863293072,-0.6171914915462082,0.1522653434628666,0.8791503579559755,0.0439560439560439,False
HIV,Column-wise,46,V8b_Saliva_IgARBD,91,91,52.45808972107185,49.907579644695744,-2.5505100763761064,0.4283600213232078,0.6689039530709652,0.1098901098901098,False
HIV,Column-wise,47,V9_Saliva_IgAspike,91,91,27.16994598647068,25.396423723180217,-1.773522263290463,0.5298267172017481,0.5968863950322205,0.0549450549450549,False
HIV,Column-wise,48,V9_Saliva_IgARBD,91,91,26.604469154889767,29.999386588623235,3.394917433733468,-0.5079060971742005,0.6121425186808342,0.0879120879120879,False
HIV,Column-wise,49,V8_IFNg,91,91,31.1695054599217,32.39725276926062,1.2277473093389162,-0.2729054989469443,0.7852470512841274,0.0659340659340659,False
HIV,Column-wise,50,V9_IFNg,91,91,78.89835192083002,60.567857511750944,-18.33049440907908,1.4789179114847275,0.1411525408306227,0.0989010989010989,False
HIV,Column-wise,51,V8_IL2,91,91,130.1841593312693,137.78130294464447,7.597143613375152,-0.3901333534276374,0.6969007732405881,0.0769230769230769,False
HIV,Column-wise,52,V9_IL2,91,91,174.50123680030907,191.5945058130956,17.09326901278652,-0.6351147151708122,0.5261839926534502,0.0659340659340659,False
HIV,Column-wise,53,V9Dual,91,91,19.905494527502373,20.29478023340414,0.3892857059017665,-0.0996825874362669,0.920707441784658,0.0769230769230769,False
HIV,Column-wise,54,V8Dual,91,91,8.972802202780167,9.63461540557526,0.6618132027950914,-0.3522494343039591,0.7250788820802505,0.0549450549450549,False
HIV,Column-wise,55,IFNG_production,91,91,0.09224910548489,0.1056779013936418,0.0134287959087517,-0.9415746161746732,0.3477152579339201,0.0769230769230769,False
HIV,Column-wise,56,Il2_production,91,91,0.2338140260551002,0.2196339017578533,-0.0141801242972468,0.756025796365141,0.4506236148487154,0.0879120879120879,False
