dataset,method,n_features_removed,percent_removed,auc_mean,auc_sd
Breast Cancer,GMM-guided SMOTE,20,66.66666666666667,0.635170639219935,0.018429024466819766
Breast Cancer,GMM-guided SMOTE,24,80.0,0.6831909287895204,0.02306126611727538
Breast Cancer,GMM-guided SMOTE,28,93.33333333333333,0.6655237368265539,0.027959211482629462
Breast Cancer,CVAE,0,0.0,0.7750270855904657,0.030366407570601876
Breast Cancer,CVAE,4,13.333333333333334,0.7482886831478381,0.032271923317819876
Breast Cancer,CVAE,8,26.666666666666668,0.7223000590958336,0.03377579375761508
Breast Cancer,CVAE,12,40.0,0.69256993006993,0.03218669147781527
Breast Cancer,CVAE,16,53.333333333333336,0.667802619915296,0.035638486659855674
Breast Cancer,CVAE,20,66.66666666666667,0.6520104895104896,0.030461103961878913
Breast Cancer,CVAE,24,80.0,0.6640955875110806,0.034029215408997296
Breast Cancer,CVAE,28,93.33333333333333,0.6150004924652812,0.023884944876424404
Diabetes,Bootstrap,0,0.0,0.7143324110243056,0.022453630889877924
Diabetes,Bootstrap,1,12.5,0.7170064290364585,0.02383263645995637
Diabetes,Bootstrap,2,25.0,0.7186292860243056,0.025326335297873506
Diabetes,Bootstrap,3,37.5,0.7206197102864582,0.026211752972115174
Diabetes,Bootstrap,4,50.0,0.7154439290364583,0.022645012724738442
Diabetes,Bootstrap,5,62.5,0.6780863444010417,0.021130969363538775
Diabetes,Bootstrap,6,75.0,0.6161098904079861,0.021879804037857546
Diabetes,Column-wise,0,0.0,0.765966796875,0.02193338559821474
Diabetes,Column-wise,1,12.5,0.7344068739149305,0.02193891753901318
Diabetes,Column-wise,2,25.0,0.747690158420139,0.019977377067949532
Diabetes,Column-wise,3,37.5,0.6583428276909723,0.016651131699182933
Diabetes,Column-wise,4,50.0,0.6367987738715277,0.02200353847256445
Diabetes,Column-wise,5,62.5,0.5448011610243055,0.01723077909060612
Diabetes,Column-wise,6,75.0,0.5152743869357639,0.011467288492306086
Diabetes,GMM,0,0.0,0.9790778266059028,0.0050770106727731955
Diabetes,GMM,1,12.5,0.9588548448350693,0.008105077085801571
Diabetes,GMM,2,25.0,0.9128099229600697,0.012150330732361882
Diabetes,GMM,3,37.5,0.8641981336805555,0.018467573040536527
Diabetes,GMM,4,50.0,0.799966769748264,0.02112501191954969
Diabetes,GMM,5,62.5,0.7777608235677084,0.01853867664816696
Diabetes,GMM,6,75.0,0.6333787706163195,0.021804452884351934
Diabetes,SMOTE,0,0.0,0.7260172526041666,0.021477711989761453
Diabetes,SMOTE,1,12.5,0.6085835774739583,0.027451688092971896
Diabetes,SMOTE,2,25.0,0.5835347493489584,0.022952089673714454
Diabetes,SMOTE,3,37.5,0.5211005316840278,0.011431661784962343
Diabetes,SMOTE,4,50.0,0.520351833767361,0.012824151585858938
Diabetes,SMOTE,5,62.5,0.5976657443576389,0.02493027966292657
Diabetes,SMOTE,6,75.0,0.6775655110677083,0.027213828925104357
Diabetes,GMM-guided SMOTE,0,0.0,0.7241353352864583,0.02650353837558546
Diabetes,GMM-guided SMOTE,1,12.5,0.577419704861111,0.02979360220203128
Diabetes,GMM-guided SMOTE,2,25.0,0.547433810763889,0.0259483146279071
Diabetes,GMM-guided SMOTE,3,37.5,0.5356886121961806,0.025125808885248825
Diabetes,GMM-guided SMOTE,4,50.0,0.525439453125,0.021379834456347023
Diabetes,GMM-guided SMOTE,5,62.5,0.6055691189236112,0.023083802241777928
Diabetes,GMM-guided SMOTE,6,75.0,0.6922200520833333,0.02505255637835147
Diabetes,CVAE,0,0.0,0.9781467013888887,0.004666328104418319
Diabetes,CVAE,1,12.5,0.970648193359375,0.007883722674903627
Diabetes,CVAE,2,25.0,0.9123765733506943,0.017933860021813682
Diabetes,CVAE,3,37.5,0.8457261827256944,0.01830553985079521
Diabetes,CVAE,4,50.0,0.7944675021701388,0.021594140906935306
Diabetes,CVAE,5,62.5,0.822744411892361,0.015509523131949901
Diabetes,CVAE,6,75.0,0.6758104112413195,0.017504689268599608
