dataset,method,repeat,tstr_f1,trtr_f1
Diabetes,SMOTE,10,0.7645875251509054,0.6365191768940761
Diabetes,SMOTE,11,0.7601626016260162,0.6275005117364929
Diabetes,SMOTE,12,0.7615230460921844,0.6172505397693369
Diabetes,SMOTE,13,0.7580645161290323,0.6337125422251281
Diabetes,SMOTE,14,0.7580645161290323,0.6279664995529702
Diabetes,SMOTE,15,0.7575150300601202,0.6291838540516805
Diabetes,SMOTE,16,0.7555555555555555,0.6008207399687338
Diabetes,SMOTE,17,0.7586206896551724,0.6181328578875844
Diabetes,SMOTE,18,0.7575150300601202,0.6274351146454851
Diabetes,SMOTE,19,0.7555555555555555,0.6365643879667371
Diabetes,GMM-guided SMOTE,0,0.7657841140529531,0.6359960861930593
Diabetes,GMM-guided SMOTE,1,0.7682926829268293,0.6296346279644762
Diabetes,GMM-guided SMOTE,2,0.7591836734693878,0.6210862729012853
Diabetes,GMM-guided SMOTE,3,0.763265306122449,0.6451070392839708
Diabetes,GMM-guided SMOTE,4,0.7730061349693251,0.6362267885082725
Diabetes,GMM-guided SMOTE,5,0.7581967213114754,0.6255585478845398
Diabetes,GMM-guided SMOTE,6,0.7607361963190185,0.6435508539302139
Diabetes,GMM-guided SMOTE,7,0.7663934426229508,0.6159927967683466
Diabetes,GMM-guided SMOTE,8,0.7764227642276422,0.649232335415272
Diabetes,GMM-guided SMOTE,9,0.756198347107438,0.6348353685070081
Diabetes,GMM-guided SMOTE,10,0.7622950819672131,0.6365191768940761
Diabetes,GMM-guided SMOTE,11,0.7723577235772358,0.6275005117364929
Diabetes,GMM-guided SMOTE,12,0.7654320987654321,0.6172505397693369
Diabetes,GMM-guided SMOTE,13,0.769857433808554,0.6337125422251281
Diabetes,GMM-guided SMOTE,14,0.7663934426229508,0.6279664995529702
Diabetes,GMM-guided SMOTE,15,0.7789046653144016,0.6291838540516805
Diabetes,GMM-guided SMOTE,16,0.7540983606557377,0.6008207399687338
Diabetes,GMM-guided SMOTE,17,0.7587628865979381,0.6181328578875844
Diabetes,GMM-guided SMOTE,18,0.7764227642276422,0.6274351146454851
Diabetes,GMM-guided SMOTE,19,0.7682926829268293,0.6365643879667371
Diabetes,CVAE,0,0.6177105831533477,0.6359960861930593
Diabetes,CVAE,1,0.6030368763557483,0.6296346279644762
Diabetes,CVAE,2,0.6136865342163356,0.6210862729012853
Diabetes,CVAE,3,0.6153846153846154,0.6451070392839708
Diabetes,CVAE,4,0.6190476190476191,0.6362267885082725
