dataset,method,run,separability_auc
Breast Cancer,Column-wise,26,0.9999015069437605
Breast Cancer,Column-wise,27,0.9996552743031616
Breast Cancer,Column-wise,28,0.9997045208312816
Breast Cancer,Column-wise,29,0.9993351718703832
Breast Cancer,Column-wise,30,0.999556781246922
Breast Cancer,Column-wise,31,1.0
Breast Cancer,Column-wise,32,0.9992120555500836
Breast Cancer,Column-wise,33,0.9998030138875208
Breast Cancer,Column-wise,34,0.9999507534718802
Breast Cancer,Column-wise,35,0.9999753767359402
Breast Cancer,Column-wise,36,0.9996552743031616
Breast Cancer,Column-wise,37,0.999556781246922
Breast Cancer,Column-wise,38,0.9999015069437605
Breast Cancer,Column-wise,39,1.0
Breast Cancer,Column-wise,40,1.0
Breast Cancer,Column-wise,41,0.9993351718703832
Breast Cancer,Column-wise,42,0.9997537673594012
Breast Cancer,Column-wise,43,0.9998030138875208
Breast Cancer,Column-wise,44,0.9998768836797006
Breast Cancer,Column-wise,45,0.9996798975672216
Breast Cancer,Column-wise,46,0.9993844183985028
Breast Cancer,Column-wise,47,0.999556781246922
Breast Cancer,Column-wise,48,0.999581404510982
Breast Cancer,Column-wise,49,0.9987934600610656
Breast Cancer,SMOTE,0,0.5276273022751896
Breast Cancer,SMOTE,1,0.5194031320791885
Breast Cancer,SMOTE,2,0.5758642765685019
Breast Cancer,SMOTE,3,0.505097015660396
Breast Cancer,SMOTE,4,0.5065251649758692
Breast Cancer,SMOTE,5,0.5741406480843101
Breast Cancer,SMOTE,6,0.5363193144883286
Breast Cancer,SMOTE,7,0.5375504776913227
Breast Cancer,SMOTE,8,0.5535555993302472
Breast Cancer,SMOTE,9,0.5632817886339013
Breast Cancer,SMOTE,10,0.5755934206638431
Breast Cancer,SMOTE,11,0.545109819757707
Breast Cancer,SMOTE,12,0.5171131685216191
Breast Cancer,SMOTE,13,0.556362651433074
Breast Cancer,SMOTE,14,0.5922387471683246
Breast Cancer,SMOTE,15,0.5775140352605141
Breast Cancer,SMOTE,16,0.5848517679503595
Breast Cancer,SMOTE,17,0.5006648281296169
Breast Cancer,SMOTE,18,0.5189845365901704
Breast Cancer,SMOTE,19,0.5902688860435339
Breast Cancer,SMOTE,20,0.539815817984832
Breast Cancer,SMOTE,21,0.5009849305623953
Breast Cancer,SMOTE,22,0.5141091303063134
Breast Cancer,SMOTE,23,0.5660642174726682
Breast Cancer,SMOTE,24,0.5059834531665518
Breast Cancer,SMOTE,25,0.5534571062740077
Breast Cancer,SMOTE,26,0.528193637348567
Breast Cancer,SMOTE,27,0.5596375455530385
Breast Cancer,SMOTE,28,0.5083472865163007
