dataset,method,n_features_removed,percent_removed,auc_mean,auc_sd
Diabetes,CVAE,2,25.0,0.9300672743055556,0.005886501736111104
Diabetes,CVAE,3,37.5,0.9022488064236112,0.00044759114583331483
Diabetes,CVAE,4,50.0,0.8308037651909721,0.0034111870659721544
Diabetes,CVAE,5,62.5,0.8021375868055556,0.015421549479166685
Diabetes,CVAE,6,75.0,0.8774481879340278,0.00562201605902779
Diabetes,WGAN-GP,0,0.0,0.9998779296875,6.781684027779011e-05
Diabetes,WGAN-GP,1,12.5,0.9993150499131944,0.00038655598958331483
Diabetes,WGAN-GP,2,25.0,0.9985215928819444,0.00033908420138889506
Diabetes,WGAN-GP,3,37.5,0.9993625217013888,0.0004747178819444753
Diabetes,WGAN-GP,4,50.0,0.9975721571180556,0.0009629991319444753
Diabetes,WGAN-GP,5,62.5,0.9981214735243056,0.00018310546875
Diabetes,WGAN-GP,6,75.0,0.998779296875,0.0010579427083333703
