dataset,proportion_permuted,percent_permuted,repeat,discriminator_auc,edge_jaccard,n_real_edges,n_perturbed_edges,glasso_alpha,edge_recovery
Diabetes,0.0,0.0,8,0.5,1.0,21,21,0.0159,1.0
Diabetes,0.0,0.0,9,0.5,1.0,21,21,0.0159,1.0
Diabetes,0.1,10.0,0,0.5161946614583334,0.84,21,25,0.0159,1.0000000000000002
Diabetes,0.1,10.0,1,0.5297173394097222,0.8333333333333334,21,23,0.0159,0.9523809523809523
Diabetes,0.1,10.0,2,0.5217692057291667,0.8333333333333334,21,23,0.0159,0.9523809523809523
Diabetes,0.1,10.0,3,0.5249701605902777,0.9130434782608695,21,23,0.0159,0.9999999999999998
Diabetes,0.1,10.0,4,0.5115424262152778,0.875,21,24,0.0159,1.0
Diabetes,0.1,10.0,5,0.5303276909722222,0.7692307692307693,21,25,0.0159,0.9523809523809526
Diabetes,0.1,10.0,6,0.5463324652777777,0.8333333333333334,21,23,0.0159,0.9523809523809523
Diabetes,0.1,10.0,7,0.5222574869791666,0.875,21,24,0.0159,1.0
Diabetes,0.1,10.0,8,0.5054389105902778,0.7037037037037037,21,25,0.0159,0.9047619047619049
Diabetes,0.1,10.0,9,0.5163167317708334,0.8,21,24,0.0159,0.9523809523809523
Diabetes,0.25,25.0,0,0.5881212022569444,0.7037037037037037,21,25,0.0159,0.9047619047619049
Diabetes,0.25,25.0,1,0.5952555338541667,0.7692307692307693,21,25,0.0159,0.9523809523809526
Diabetes,0.25,25.0,2,0.6144612630208334,0.7307692307692307,21,24,0.0159,0.9047619047619045
Diabetes,0.25,25.0,3,0.5686577690972222,0.8,21,24,0.0159,0.9523809523809523
Diabetes,0.25,25.0,4,0.5973849826388888,0.76,21,23,0.0159,0.9047619047619048
Diabetes,0.25,25.0,5,0.6158854166666666,0.7692307692307693,21,25,0.0159,0.9523809523809526
Diabetes,0.25,25.0,6,0.573025173611111,0.7407407407407407,21,26,0.0159,0.9523809523809522
Diabetes,0.25,25.0,7,0.5864935980902778,0.6923076923076923,21,23,0.0159,0.8571428571428571
Diabetes,0.25,25.0,8,0.5850287543402777,0.6923076923076923,21,23,0.0159,0.8571428571428571
Diabetes,0.25,25.0,9,0.5882703993055556,0.75,21,28,0.0159,1.0
Diabetes,0.5,50.0,0,0.7318793402777777,0.6666666666666666,21,24,0.0159,0.8571428571428571
Diabetes,0.5,50.0,1,0.6581624348958334,0.6785714285714286,21,26,0.0159,0.9047619047619048
Diabetes,0.5,50.0,2,0.7237006293402778,0.6428571428571429,21,25,0.0159,0.8571428571428571
Diabetes,0.5,50.0,3,0.7429470486111112,0.6428571428571429,21,25,0.0159,0.8571428571428571
Diabetes,0.5,50.0,4,0.7078314887152778,0.6428571428571429,21,25,0.0159,0.8571428571428571
Diabetes,0.5,50.0,5,0.7319742838541666,0.7692307692307693,21,25,0.0159,0.9523809523809526
Diabetes,0.5,50.0,6,0.6698540581597222,0.6538461538461539,21,22,0.0159,0.8095238095238096
Diabetes,0.5,50.0,7,0.725735134548611,0.7407407407407407,21,26,0.0159,0.9523809523809522
Diabetes,0.5,50.0,8,0.71533203125,0.6923076923076923,21,23,0.0159,0.8571428571428571
Diabetes,0.5,50.0,9,0.6808403862847221,0.6071428571428571,21,24,0.0159,0.8095238095238093
Diabetes,0.75,75.0,0,0.7880859375,0.4642857142857143,21,20,0.0159,0.619047619047619
Diabetes,0.75,75.0,1,0.7291531032986112,0.6538461538461539,21,22,0.0159,0.8095238095238096
Diabetes,0.75,75.0,2,0.7922905815972223,0.7692307692307693,21,25,0.0159,0.9523809523809526
Diabetes,0.75,75.0,3,0.7720404730902778,0.5357142857142857,21,22,0.0159,0.7142857142857143
Diabetes,0.75,75.0,4,0.7491319444444444,0.6923076923076923,21,23,0.0159,0.8571428571428571
Diabetes,0.75,75.0,5,0.75732421875,0.5555555555555556,21,21,0.0159,0.7142857142857144
Diabetes,0.75,75.0,6,0.735324435763889,0.5416666666666666,21,16,0.0159,0.6190476190476191
Diabetes,0.75,75.0,7,0.7751736111111112,0.7407407407407407,21,26,0.0159,0.9523809523809522
Diabetes,0.75,75.0,8,0.7404920789930555,0.64,21,20,0.0159,0.7619047619047619
Diabetes,0.75,75.0,9,0.7659776475694445,0.6538461538461539,21,22,0.0159,0.8095238095238096
Diabetes,1.0,100.0,0,0.7570665147569444,0.6296296296296297,21,23,0.0159,0.8095238095238095
Diabetes,1.0,100.0,1,0.7762179904513888,0.6923076923076923,21,23,0.0159,0.8571428571428571
Diabetes,1.0,100.0,2,0.7697211371527778,0.6071428571428571,21,24,0.0159,0.8095238095238093
Diabetes,1.0,100.0,3,0.7886284722222222,0.6428571428571429,21,25,0.0159,0.8571428571428571
Diabetes,1.0,100.0,4,0.7356363932291667,0.5357142857142857,21,22,0.0159,0.7142857142857143
Diabetes,1.0,100.0,5,0.7485215928819444,0.6153846153846154,21,21,0.0159,0.7619047619047619
Diabetes,1.0,100.0,6,0.7504204644097223,0.5925925925925926,21,22,0.0159,0.7619047619047619
Diabetes,1.0,100.0,7,0.7503255208333334,0.6428571428571429,21,25,0.0159,0.8571428571428571
Diabetes,1.0,100.0,8,0.7632107204861112,0.6666666666666666,21,24,0.0159,0.8571428571428571
Diabetes,1.0,100.0,9,0.7640245225694444,0.6296296296296297,21,23,0.0159,0.8095238095238095
