dataset,method,fraction,separability_auc
Diabetes,CVAE,0.75,0.9833863811728395
Diabetes,CVAE,0.75,0.9660976080246912
Diabetes,CVAE,0.75,0.9759355709876544
Diabetes,CVAE,0.75,0.9730902777777778
Diabetes,Bootstrap,1.0,0.7204861111111112
Diabetes,Bootstrap,1.0,0.7169189453125
Diabetes,Bootstrap,1.0,0.7595079210069444
Diabetes,Bootstrap,1.0,0.7176106770833333
Diabetes,Bootstrap,1.0,0.7497422960069444
Diabetes,Column-wise,1.0,0.7949083116319444
Diabetes,Column-wise,1.0,0.7735866970486112
Diabetes,Column-wise,1.0,0.7655300564236112
Diabetes,Column-wise,1.0,0.7946641710069445
Diabetes,Column-wise,1.0,0.8035210503472222
Diabetes,GMM,1.0,0.9778510199652777
Diabetes,GMM,1.0,0.9705132378472222
Diabetes,GMM,1.0,0.9786919487847223
Diabetes,GMM,1.0,0.9850260416666667
Diabetes,GMM,1.0,0.9817979600694444
Diabetes,SMOTE,1.0,0.7176513671875001
Diabetes,SMOTE,1.0,0.7022026909722223
Diabetes,SMOTE,1.0,0.7164713541666666
Diabetes,SMOTE,1.0,0.6739908854166666
Diabetes,SMOTE,1.0,0.7247721354166667
Diabetes,GMM-guided SMOTE,1.0,0.740383572048611
Diabetes,GMM-guided SMOTE,1.0,0.6737603081597223
Diabetes,GMM-guided SMOTE,1.0,0.7003580729166666
Diabetes,GMM-guided SMOTE,1.0,0.7005750868055558
Diabetes,GMM-guided SMOTE,1.0,0.6939832899305556
Diabetes,CVAE,1.0,0.9694959852430556
Diabetes,CVAE,1.0,0.9578721788194444
Diabetes,CVAE,1.0,0.979831271701389
Diabetes,CVAE,1.0,0.9766438802083334
Diabetes,CVAE,1.0,0.9735243055555556
