dataset,method,feature_index,feature,kld
HIV,CVAE,1,spikeDecay_D1D2,10.328584263277648
HIV,CVAE,2,spikeProduction_D3,5.358183475628908
HIV,CVAE,3,spikeDecay_D3,5.767546798505439
HIV,CVAE,4,RBDProduction_D1D2,5.530726328901022
HIV,CVAE,5,RBDDecay_D1D2,8.18365875632893
HIV,CVAE,6,RBDProduction_D3,10.037239579051512
HIV,CVAE,7,RBDDecay_D3,10.844928125511476
HIV,CVAE,8,V1_blood_IgGspike,1.621379386062311
HIV,CVAE,9,V4_blood_IgGspike,1.1611921322682746
HIV,CVAE,10,V4a_blood_IgGspike,1.3436740021261626
HIV,CVAE,11,V6_blood_IgGspike,7.156570181336752
HIV,CVAE,12,V8_blood_IgGspike,4.337815171190433
HIV,CVAE,13,V8a_blood_IgGspike,3.0892188152991467
HIV,CVAE,14,V8b_blood_IgGspike,1.9509382563313065
HIV,CVAE,15,V9_blood_IgGspike,4.068110653889008
HIV,CVAE,16,V10_blood_IgGspike,12.891692295915746
HIV,CVAE,17,V11_blood_IgGspike,3.888925978906159
HIV,CVAE,18,V1_blood_IgGRBD,1.0400280867096372
HIV,CVAE,19,V4_blood_IgGRBD,1.1387959732898931
HIV,CVAE,20,V4a_blood_IgGRBD,1.2538846913780413
HIV,CVAE,21,V6_blood_IgGRBD,4.018172214301082
HIV,CVAE,22,V8_blood_IgGRBD,1.0453479933291414
HIV,CVAE,23,V8a_blood_IgGRBD,1.2747872328730865
HIV,CVAE,24,V8b_blood_IgGRBD,8.43632125020871
HIV,CVAE,25,V9_blood_IgGRBD,3.864795699036436
HIV,CVAE,26,V10_blood_IgGRBD,11.4362771168166
HIV,CVAE,27,V11_blood_IgGRBD,7.537677386107303
HIV,CVAE,28,V4_Saliva_IgGspike,3.1406642301129426
HIV,CVAE,29,V4_Saliva_IgGRBD,2.424788754386536
HIV,CVAE,30,V5_Saliva_IgGspike,3.240937882253779
HIV,CVAE,31,V5_Saliva_IgGRBD,1.5045189973494302
HIV,CVAE,32,V8_Saliva_IgGspike,2.721826958660162
HIV,CVAE,33,V8_Saliva_IgGRBD,3.3726144099028623
HIV,CVAE,34,V8b_Saliva_IgGspike,3.7588407616729698
HIV,CVAE,35,V8b_Saliva_IgGRBD,4.016774357852076
HIV,CVAE,36,V9_Saliva_IgGspike,4.709946102304567
HIV,CVAE,37,V9_Saliva_IgGRBD,3.002433200976742
HIV,CVAE,38,V4_Saliva_IgAspike,3.4318116256165965
HIV,CVAE,39,V4_Saliva_IgARBD,3.541829673420302
HIV,CVAE,40,V5_Saliva_IgAspike,1.4947689463804674
HIV,CVAE,41,V5_Saliva_IgARBD,3.862472168544583
HIV,CVAE,42,V8_Saliva_IgAspike,2.119236812525836
HIV,CVAE,43,V8_Saliva_IgARBD,3.782040417864422
HIV,CVAE,44,V8b_Saliva_IgAspike,3.873306801179959
HIV,CVAE,45,V8b_Saliva_IgARBD,1.9496144395657224
HIV,CVAE,46,V9_Saliva_IgAspike,0.6937752761710207
HIV,CVAE,47,V9_Saliva_IgARBD,0.9094494505185212
HIV,CVAE,48,V8_IFNg,2.6074389595756324
