dataset,method,repeat,tstr_f1,trtr_f1,utility_gap_abs
Breast Cancer,GMM-guided SMOTE,8,0.9707927677329624,0.9667799902865468,0.004012777446415594
Breast Cancer,GMM-guided SMOTE,9,0.9693593314763232,0.9696248109727528,0.0002654794964295215
Breast Cancer,GMM-guided SMOTE,10,0.9694444444444444,0.9679932432166384,0.0014512012278060649
Breast Cancer,GMM-guided SMOTE,11,0.9694444444444444,0.9708713059980912,0.0014268615536467966
Breast Cancer,GMM-guided SMOTE,12,0.9735744089012516,0.9664538468160264,0.007120562085225157
Breast Cancer,GMM-guided SMOTE,13,0.9693593314763232,0.9679659653137276,0.0013933661625956661
Breast Cancer,GMM-guided SMOTE,14,0.9694444444444444,0.9707574934276236,0.001313048983179188
Breast Cancer,GMM-guided SMOTE,15,0.9680111265646733,0.9705158896269096,0.002504763062236348
Breast Cancer,GMM-guided SMOTE,16,0.9707927677329624,0.9705801880897432,0.00021257964321919065
Breast Cancer,GMM-guided SMOTE,17,0.9707112970711296,0.967790849404936,0.002920447666193593
Breast Cancer,GMM-guided SMOTE,18,0.9735744089012516,0.9708620689655172,0.002712339935734387
Breast Cancer,GMM-guided SMOTE,19,0.9694444444444444,0.9666815530600982,0.0027628913843462666
Breast Cancer,CVAE,0,0.9627586206896552,0.9693090695899408,0.006550448900285555
Breast Cancer,CVAE,1,0.9614325068870524,0.9708217339834628,0.009389227096410435
Breast Cancer,CVAE,2,0.9573590096286108,0.969345700438464,0.011986690809853262
Breast Cancer,CVAE,3,0.9574759945130316,0.9721019255727504,0.014625931059718877
Breast Cancer,CVAE,4,0.9627586206896552,0.9653388938833948,0.0025802731937395462
Breast Cancer,CVAE,5,0.9614325068870524,0.9651268184702836,0.0036943115832311912
Breast Cancer,CVAE,6,0.9629629629629628,0.9760991556439162,0.013136192680953451
Breast Cancer,CVAE,7,0.9601100412654744,0.966544694946722,0.006434653681247626
Breast Cancer,CVAE,8,0.9587912087912088,0.9667799902865468,0.007988781495337993
Breast Cancer,CVAE,9,0.9586776859504132,0.9696248109727528,0.010947125022339521
Breast Cancer,CVAE,10,0.9601100412654744,0.9679932432166384,0.007883201951163987
Breast Cancer,CVAE,11,0.9613259668508288,0.9708713059980912,0.00954533914726241
Breast Cancer,CVAE,12,0.9627586206896552,0.9664538468160264,0.003695226126371187
Breast Cancer,CVAE,13,0.9614325068870524,0.9679659653137276,0.006533458426675187
Breast Cancer,CVAE,14,0.9628610729023384,0.9707574934276236,0.007896420525285275
Breast Cancer,CVAE,15,0.9602194787379972,0.9705158896269096,0.010296410888912422
Breast Cancer,CVAE,16,0.9627586206896552,0.9705801880897432,0.007821567400087992
Breast Cancer,CVAE,17,0.9627586206896552,0.967790849404936,0.005032228715280751
Breast Cancer,CVAE,18,0.96,0.9708620689655172,0.010862068965517224
Breast Cancer,CVAE,19,0.9614325068870524,0.9666815530600982,0.005249046173045779
Diabetes,Bootstrap,0,0.8587570621468926,0.6359960861930593,0.22276097595383337
Diabetes,Bootstrap,1,0.8544423440453687,0.6296346279644762,0.22480771608089245
Diabetes,Bootstrap,2,0.8587570621468926,0.6210862729012853,0.23767078924560736
Diabetes,Bootstrap,3,0.8657844990548205,0.6451070392839708,0.22067745977084963
Diabetes,Bootstrap,4,0.8598484848484849,0.6362267885082725,0.22362169634021234
Diabetes,Bootstrap,5,0.8603773584905661,0.6255585478845398,0.23481881060602627
Diabetes,Bootstrap,6,0.8566037735849057,0.6435508539302139,0.21305291965469175
Diabetes,Bootstrap,7,0.8528301886792453,0.6159927967683466,0.2368373919108987
Diabetes,Bootstrap,8,0.8549905838041432,0.649232335415272,0.20575824838887113
Diabetes,Bootstrap,9,0.8593155893536122,0.6348353685070081,0.22448022084660413
Diabetes,Bootstrap,10,0.8517110266159695,0.6365191768940761,0.21519184972189342
Diabetes,Bootstrap,11,0.8560606060606061,0.6275005117364929,0.22856009432411317
Diabetes,Bootstrap,12,0.8560606060606061,0.6172505397693369,0.23881006629126922
Diabetes,Bootstrap,13,0.8587570621468926,0.6337125422251281,0.22504451992176455
Diabetes,Bootstrap,14,0.8587570621468926,0.6279664995529702,0.2307905625939224
Diabetes,Bootstrap,15,0.8544423440453687,0.6291838540516805,0.22525848999368814
Diabetes,Bootstrap,16,0.8582230623818525,0.6008207399687338,0.2574023224131188
Diabetes,Bootstrap,17,0.8598484848484849,0.6181328578875844,0.24171562696090043
Diabetes,Bootstrap,18,0.8500948766603416,0.6274351146454851,0.2226597620148565
Diabetes,Bootstrap,19,0.8528301886792453,0.6365643879667371,0.21626580071250823
Diabetes,Column-wise,0,0.6527514231499051,0.6359960861930593,0.016755336956845834
Diabetes,Column-wise,1,0.6564885496183206,0.6296346279644762,0.02685392165384437
Diabetes,Column-wise,2,0.6565464895635673,0.6210862729012853,0.03546021666228205
Diabetes,Column-wise,3,0.6590909090909091,0.6451070392839708,0.01398386980693822
Diabetes,Column-wise,4,0.665406427221172,0.6362267885082725,0.029179638712899525
Diabetes,Column-wise,5,0.6716981132075471,0.6255585478845398,0.04613956532300734
Diabetes,Column-wise,6,0.6604127579737336,0.6435508539302139,0.016861904043519615
Diabetes,Column-wise,7,0.6666666666666666,0.6159927967683466,0.05067386989832001
Diabetes,Column-wise,8,0.6679245283018868,0.649232335415272,0.018692192886614722
Diabetes,Column-wise,9,0.6666666666666666,0.6348353685070081,0.03183129815965857
Diabetes,Column-wise,10,0.6679174484052532,0.6365191768940761,0.031398271511177134
Diabetes,Column-wise,11,0.6641651031894934,0.6275005117364929,0.036664591453000495
Diabetes,Column-wise,12,0.6654135338345865,0.6172505397693369,0.0481629940652496
Diabetes,Column-wise,13,0.6679174484052532,0.6337125422251281,0.03420490618012517
Diabetes,Column-wise,14,0.6704331450094162,0.6279664995529702,0.04246664545644596
Diabetes,Column-wise,15,0.6654135338345865,0.6291838540516805,0.03622967978290592
