repeat,seed,dataset,prior,feature_index,feature,n_real,n_synthetic,real_mean,synthetic_mean,mean_difference,t_statistic,p_value,ks_statistic,standardized_mean_difference,standardized_wasserstein
0,42,HIV,Log-normal,16,V9_blood_IgGspike,91,91,1015.3168724814614,974.2664332127833,-41.05043926867802,0.7234584203207055,0.4707076034621225,0.4175824175824176,-0.08404877017344438,0.507736978739152
0,42,HIV,Log-normal,17,V10_blood_IgGspike,91,91,962.7392485063154,653.425033401657,-309.3142151046585,5.232886094636986,8.181473102887663e-07,0.5274725274725275,-0.5768030829883061,0.741848171545571
0,42,HIV,Log-normal,18,V11_blood_IgGspike,91,91,1314.8465629829154,1265.83788391784,-49.00867906507551,1.3609551915006277,0.17630393605033765,0.6593406593406593,-0.15056667503921173,0.6133056962588663
0,42,HIV,Log-normal,19,V1_blood_IgGRBD,91,91,5.13758461029975,3.988407947204925,-1.1491766630948246,1.403583550423122,0.16385898304123153,0.4725274725274725,-0.14740443263142275,0.23170773839124906
0,42,HIV,Log-normal,20,V4_blood_IgGRBD,91,91,226.04022855549067,73.39500477549794,-152.64522377999273,2.6114823086465457,0.010542876835389419,0.2967032967032967,-0.2745747966686162,0.29677208818202616
0,42,HIV,Log-normal,21,V4a_blood_IgGRBD,91,91,159.47874348504203,52.22600687467135,-107.25273661037068,2.0785975553421348,0.04048539061605012,0.3516483516483517,-0.21819221248383638,0.24108558341170874
0,42,HIV,Log-normal,22,V6_blood_IgGRBD,91,91,1757.633392538343,928.5353334867037,-829.0980590516393,5.2851839531722415,6.455505087394328e-07,0.38461538461538464,-0.5837743747434373,0.6427156763340051
0,42,HIV,Log-normal,23,V8_blood_IgGRBD,91,91,562.1188489578583,219.84849259093568,-342.2703563669226,3.984127203437198,0.00013215255878438556,0.32967032967032966,-0.4242134878804187,0.4433414859055561
0,42,HIV,Log-normal,24,V8a_blood_IgGRBD,91,91,494.1665499446156,184.80199558132298,-309.36455436329265,3.5287005600143266,0.0006518165070870831,0.2967032967032967,-0.37273579843345345,0.3850054581332698
0,42,HIV,Log-normal,25,V8b_blood_IgGRBD,91,91,2589.5026994170726,2270.1408007275927,-319.36189868947986,2.1028067431523563,0.037398605168909686,0.34065934065934067,-0.24544822381563003,0.48106780726237125
0,42,HIV,Log-normal,26,V9_blood_IgGRBD,91,91,1610.33636033928,1030.1447505741328,-580.1916097651472,3.250920083937683,0.0015416564190238792,0.26373626373626374,-0.35591561353066226,0.5191695073900084
0,42,HIV,Log-normal,27,V10_blood_IgGRBD,91,91,1740.3842333646921,636.1720222221626,-1104.2122111425297,6.04573382641942,2.97332725111866e-08,0.43956043956043955,-0.6410559782155754,0.71291292551225
0,42,HIV,Log-normal,28,V11_blood_IgGRBD,91,91,2435.6731343898145,1766.298111800309,-669.3750225895055,4.031093479957722,0.00010654772629077749,0.46153846153846156,-0.43770974430053466,0.7092292903167667
0,42,HIV,Log-normal,29,V4_Saliva_IgGspike,91,91,44.520155346000585,36.31627614157541,-8.203879204425178,2.5525368899266714,0.012090769742590464,0.32967032967032966,-0.28081130109722346,0.5185573006531038
0,42,HIV,Log-normal,30,V4_Saliva_IgGRBD,91,91,34.03445494174957,19.932321726620852,-14.10213321512872,3.53992935506719,0.0006021546385218553,0.27472527472527475,-0.3843958527387866,0.4628941795066
0,42,HIV,Log-normal,31,V5_Saliva_IgGspike,91,91,145.75231281021138,120.27190793215574,-25.480404878055637,2.144811133052535,0.034085710684473934,0.27472527472527475,-0.2397808625324929,0.44104954846995026
0,42,HIV,Log-normal,32,V5_Saliva_IgGRBD,91,91,153.54405279473943,122.51811880593772,-31.02593398880171,2.066053655166937,0.04124966799699726,0.27472527472527475,-0.22637991865836402,0.4163110169781942
0,42,HIV,Log-normal,33,V8_Saliva_IgGspike,91,91,125.64155031200293,100.02084170331011,-25.620708608692823,2.5329679919422667,0.012634581279031316,0.27472527472527475,-0.2851370397299019,0.46256753844401804
