dataset,prior,feature,significant_repeat_fraction
Breast Cancer,Class GMM,radius error,0.0
Breast Cancer,Class GMM,texture error,0.0
Breast Cancer,Class GMM,perimeter error,0.0
Breast Cancer,Class GMM,area error,0.3333333333333333
Breast Cancer,Class GMM,smoothness error,0.0
Breast Cancer,Class GMM,compactness error,0.0
Breast Cancer,Class GMM,concavity error,0.0
Breast Cancer,Class GMM,concave points error,0.0
Breast Cancer,Class GMM,symmetry error,0.0
Breast Cancer,Class GMM,fractal dimension error,0.0
Breast Cancer,Class GMM,worst radius,0.0
Breast Cancer,Class GMM,worst texture,0.0
Breast Cancer,Class GMM,worst perimeter,0.0
Breast Cancer,Class GMM,worst area,0.3333333333333333
Breast Cancer,Class GMM,worst smoothness,0.0
Breast Cancer,Class GMM,worst compactness,0.0
Breast Cancer,Class GMM,worst concavity,0.0
Breast Cancer,Class GMM,worst concave points,0.0
Breast Cancer,Class GMM,worst symmetry,0.0
Breast Cancer,Class GMM,worst fractal dimension,0.0
Diabetes,Normal,preg,1.0
Diabetes,Normal,plas,1.0
Diabetes,Normal,pres,0.0
Diabetes,Normal,skin,1.0
Diabetes,Normal,insu,1.0
Diabetes,Normal,mass,0.0
Diabetes,Normal,pedi,0.3333333333333333
Diabetes,Normal,age,0.0
Diabetes,Log-normal,preg,1.0
Diabetes,Log-normal,plas,0.3333333333333333
Diabetes,Log-normal,pres,0.0
Diabetes,Log-normal,skin,0.3333333333333333
Diabetes,Log-normal,insu,1.0
Diabetes,Log-normal,mass,0.0
Diabetes,Log-normal,pedi,0.0
Diabetes,Log-normal,age,0.6666666666666666
Diabetes,Class GMM,preg,0.6666666666666666
Diabetes,Class GMM,plas,0.6666666666666666
Diabetes,Class GMM,pres,0.0
Diabetes,Class GMM,skin,1.0
Diabetes,Class GMM,insu,1.0
Diabetes,Class GMM,mass,0.6666666666666666
Diabetes,Class GMM,pedi,0.0
Diabetes,Class GMM,age,0.0
