dataset,method,sigma,sep_mean,sep_sd,sep_values
Diabetes,Column-wise,1.0,0.9812056290695231,0.0023560317901538392,"[0.9812224322621297, 0.9853077084646082, 0.980466288594833, 0.9810438983406847, 0.9779878176853603]"
Diabetes,Column-wise,1.5,0.9899705944129383,0.003706374231491666,"[0.9936252888048729, 0.9918084436042849, 0.9928691451375761, 0.9878176853602186, 0.9837324091577399]"
Diabetes,Column-wise,2.0,0.9961751732829238,0.0022399000818750753,"[0.9969124133585382, 0.9964713295526151, 0.9993278722957362, 0.995778197857593, 0.9923860533501365]"
Diabetes,GMM,0.0,0.9437765175383322,0.006393518184282532,"[0.9345200588111741, 0.9422915353917244, 0.9402121403066582, 0.9500735139676539, 0.9517853392144506]"
Diabetes,GMM,0.05,0.9441377861793742,0.00664539315020747,"[0.9334278512917455, 0.9446019743751313, 0.9411363159000212, 0.9486242386053352, 0.9528985507246377]"
Diabetes,GMM,0.1,0.942871245536652,0.006525400779098185,"[0.9355912623398446, 0.9411468178954001, 0.9366099558916195, 0.9497269481201428, 0.9512812434362529]"
Diabetes,GMM,0.2,0.9448456206679268,0.006365842864863197,"[0.9385213190506196, 0.9417664356227682, 0.9390569208149548, 0.9509871875656375, 0.9538962402856542]"
Diabetes,GMM,0.3,0.9477315689981097,0.008629402117904987,"[0.9442239025414828, 0.9487502625498845, 0.9345410628019325, 0.95, 0.9611426170972486]"
Diabetes,GMM,0.5,0.9556143667296787,0.006181412745381577,"[0.9504410838059231, 0.9631590002100401, 0.947857592942659, 0.9542638101239234, 0.9623503465658475]"
Diabetes,GMM,0.75,0.9658643142197019,0.006450949632662613,"[0.9626023944549462, 0.9666561646712877, 0.9557235874816215, 0.9694812014282714, 0.9748582230623818]"
Diabetes,GMM,1.0,0.9776412518378492,0.0035701841831479917,"[0.9727578239865575, 0.9787019533711406, 0.9742491073303927, 0.980466288594833, 0.9820310859063222]"
Diabetes,GMM,1.5,0.9890338164251208,0.0037475993440219697,"[0.9823881537492124, 0.9909052720016804, 0.9890779248057132, 0.9890149128334385, 0.9937828187355597]"
Diabetes,GMM,2.0,0.9936798991808443,0.002239880385926545,"[0.9906952320940979, 0.9932367149758452, 0.9946649863474061, 0.9924490653224114, 0.9973534971644613]"
Diabetes,CVAE,0.0,0.9779185045158579,0.0029250996410595145,"[0.9819470699432891, 0.9742701113211509, 0.9761289645032557, 0.9764965343415251, 0.9807498424700694]"
Diabetes,CVAE,0.05,0.974749002310439,0.0032018281242411463,"[0.9791430371770635, 0.9742491073303927, 0.9705419029615626, 0.9722642302037388, 0.9775467338794371]"
Diabetes,CVAE,0.1,0.97098088636841,0.004289585747269359,"[0.9764755303507666, 0.9699222852341943, 0.96387313589582, 0.9704998949800462, 0.9741335853812224]"
Diabetes,CVAE,0.2,0.9657088846880907,0.0046298122561904435,"[0.9688720856962822, 0.9626969124133584, 0.9582965763495064, 0.9711825246796891, 0.9674963243016172]"
Diabetes,CVAE,0.3,0.9634887628649442,0.008125498002541393,"[0.9691241335853812, 0.9539277462717916, 0.9587061541692922, 0.9763915143877337, 0.9592942659105231]"
Diabetes,CVAE,0.5,0.967666456626759,0.005549174857415109,"[0.9712875446334802, 0.9618042428061331, 0.961447174963243, 0.975897920604915, 0.9678954001260239]"
Diabetes,CVAE,0.75,0.9710796051249737,0.003932580953398086,"[0.9741860953581181, 0.9740705734089478, 0.9637156059651334, 0.973072883847931, 0.9703528670447386]"
Diabetes,CVAE,1.0,0.9791220331863053,0.0017161173083321466,"[0.9795526149968493, 0.9812959462297834, 0.9771266540642722, 0.9804977945809703, 0.9771371560596513]"
Diabetes,CVAE,1.5,0.9885570258349086,0.0030113643573045964,"[0.9831758034026465, 0.9923125393824825, 0.9885003150598614, 0.9900546103759712, 0.9887418609535812]"
Diabetes,CVAE,2.0,0.9946565847511029,0.0015517301448138645,"[0.9917874396135267, 0.994234404536862, 0.9958412098298677, 0.9957676958622139, 0.9956521739130435]"
