dataset,method,run,separability_auc
Diabetes,Bootstrap,39,0.7373589409722222
Diabetes,Bootstrap,40,0.7408447265625
Diabetes,Bootstrap,41,0.6944173177083334
Diabetes,Bootstrap,42,0.6789822048611112
Diabetes,Bootstrap,43,0.7272406684027778
Diabetes,Bootstrap,44,0.7073025173611112
Diabetes,Bootstrap,45,0.7103814019097222
Diabetes,Bootstrap,46,0.7258978949652777
Diabetes,Bootstrap,47,0.7068413628472222
Diabetes,Bootstrap,48,0.7472873263888888
Diabetes,Bootstrap,49,0.6991644965277778
Diabetes,Column-wise,0,0.7685139973958334
Diabetes,Column-wise,1,0.7740749782986113
Diabetes,Column-wise,2,0.8219401041666665
Diabetes,Column-wise,3,0.8044026692708333
Diabetes,Column-wise,4,0.8244764539930557
Diabetes,Column-wise,5,0.8240695529513888
Diabetes,Column-wise,6,0.791259765625
Diabetes,Column-wise,7,0.8052842881944444
Diabetes,Column-wise,8,0.7992078993055556
Diabetes,Column-wise,9,0.7975531684027777
Diabetes,Column-wise,10,0.7836235894097221
Diabetes,Column-wise,11,0.8083902994791666
Diabetes,Column-wise,12,0.791015625
Diabetes,Column-wise,13,0.8074815538194444
Diabetes,Column-wise,14,0.8123101128472223
Diabetes,Column-wise,15,0.7927652994791666
Diabetes,Column-wise,16,0.7963324652777778
Diabetes,Column-wise,17,0.7662760416666667
Diabetes,Column-wise,18,0.8047824435763888
Diabetes,Column-wise,19,0.7722032335069445
Diabetes,Column-wise,20,0.7806803385416667
Diabetes,Column-wise,21,0.7910970052083333
Diabetes,Column-wise,22,0.7578531901041666
Diabetes,Column-wise,23,0.7770724826388888
Diabetes,Column-wise,24,0.796657986111111
Diabetes,Column-wise,25,0.7787679036458333
Diabetes,Column-wise,26,0.7558729383680556
Diabetes,Column-wise,27,0.7924262152777777
Diabetes,Column-wise,28,0.8025309244791666
Diabetes,Column-wise,29,0.7696126302083333
Diabetes,Column-wise,30,0.7880859375
Diabetes,Column-wise,31,0.8108317057291666
Diabetes,Column-wise,32,0.7925211588541667
Diabetes,Column-wise,33,0.7780083550347223
Diabetes,Column-wise,34,0.7956136067708333
Diabetes,Column-wise,35,0.8135036892361112
Diabetes,Column-wise,36,0.8142768012152777
Diabetes,Column-wise,37,0.7850477430555556
Diabetes,Column-wise,38,0.8178710937499999
Diabetes,Column-wise,39,0.7909478081597222
Diabetes,Column-wise,40,0.7752956814236112
Diabetes,Column-wise,41,0.8131103515625
Diabetes,Column-wise,42,0.784573025173611
Diabetes,Column-wise,43,0.8070882161458333
Diabetes,Column-wise,44,0.7736680772569445
Diabetes,Column-wise,45,0.7684868706597221
Diabetes,Column-wise,46,0.802151150173611
Diabetes,Column-wise,47,0.7917344835069444
Diabetes,Column-wise,48,0.8091362847222222
Diabetes,Column-wise,49,0.7916259765625002
Diabetes,GMM,0,0.9814453125
Diabetes,GMM,1,0.9840901692708335
Diabetes,GMM,2,0.9744194878472221
Diabetes,GMM,3,0.9709337022569445
Diabetes,GMM,4,0.9839680989583333
Diabetes,GMM,5,0.9828559027777778
Diabetes,GMM,6,0.970608181423611
Diabetes,GMM,7,0.9828559027777779
Diabetes,GMM,8,0.9783121744791666
Diabetes,GMM,9,0.9748670789930556
Diabetes,GMM,10,0.9848768446180556
Diabetes,GMM,11,0.977267795138889
Diabetes,GMM,12,0.9771457248263888
Diabetes,GMM,13,0.985256618923611
Diabetes,GMM,14,0.9779866536458334
Diabetes,GMM,15,0.9708251953125001
Diabetes,GMM,16,0.9715711805555556
Diabetes,GMM,17,0.9774983723958334
Diabetes,GMM,18,0.9705810546875
Diabetes,GMM,19,0.9729953342013888
Diabetes,GMM,20,0.9791937934027778
Diabetes,GMM,21,0.982516818576389
Diabetes,GMM,22,0.9821506076388891
Diabetes,GMM,23,0.9743787977430556
Diabetes,GMM,24,0.9813096788194444
Diabetes,GMM,25,0.981689453125
Diabetes,GMM,26,0.9735785590277778
Diabetes,GMM,27,0.9763726128472221
Diabetes,GMM,28,0.9721137152777778
Diabetes,GMM,29,0.9825710720486112
Diabetes,GMM,30,0.9794379340277778
Diabetes,GMM,31,0.9817437065972222
Diabetes,GMM,32,0.9721272786458333
Diabetes,GMM,33,0.9801567925347222
Diabetes,GMM,34,0.9723849826388888
Diabetes,GMM,35,0.9809705946180556
Diabetes,GMM,36,0.9813639322916666
Diabetes,GMM,37,0.978420681423611
Diabetes,GMM,38,0.9764946831597222
Diabetes,GMM,39,0.9716661241319445
Diabetes,GMM,40,0.9803602430555556
Diabetes,GMM,41,0.9840494791666666
Diabetes,GMM,42,0.9809841579861112
Diabetes,GMM,43,0.9790717230902778
Diabetes,GMM,44,0.9740804036458333
Diabetes,GMM,45,0.9752332899305556
Diabetes,GMM,46,0.9840087890625
Diabetes,GMM,47,0.9794108072916666
Diabetes,GMM,48,0.9832763671875001
Diabetes,GMM,49,0.9827745225694444
Diabetes,CVAE,0,0.9972601996527778
Diabetes,CVAE,1,0.9927842881944444
Diabetes,CVAE,2,0.9922281901041666
Diabetes,CVAE,3,0.9928792317708334
Diabetes,CVAE,4,0.9936930338541666
Diabetes,CVAE,5,0.9943983289930556
Diabetes,CVAE,6,0.9989284939236112
Diabetes,CVAE,7,0.9968397352430556
Diabetes,CVAE,8,0.991943359375
Diabetes,CVAE,9,0.9974365234375
Diabetes,CVAE,10,0.9931640625000001
Diabetes,CVAE,11,0.9943712022569444
Diabetes,CVAE,12,0.9950493706597222
Diabetes,CVAE,13,0.9968804253472222
Diabetes,CVAE,14,0.9960394965277777
Diabetes,CVAE,15,0.9978434244791667
Diabetes,CVAE,16,0.9962158203125
Diabetes,CVAE,17,0.9913330078125
Diabetes,CVAE,18,0.9931776258680556
Diabetes,CVAE,19,0.9940592447916666
Diabetes,CVAE,20,0.9980875651041665
Diabetes,CVAE,21,0.9952392578125
Diabetes,CVAE,22,0.9945746527777778
Diabetes,CVAE,23,0.9942626953124999
Diabetes,CVAE,24,0.9943440755208334
Diabetes,CVAE,25,0.9948323567708334
Diabetes,CVAE,26,0.9930013020833334
Diabetes,CVAE,27,0.9968126085069444
Diabetes,CVAE,28,0.9956868489583333
Diabetes,CVAE,29,0.9910074869791666
Diabetes,CVAE,30,0.9916720920138888
Diabetes,CVAE,31,0.9934217664930556
Diabetes,CVAE,32,0.9928927951388887
Diabetes,CVAE,33,0.9941948784722222
Diabetes,CVAE,34,0.9948866102430556
Diabetes,CVAE,35,0.9964735243055555
Diabetes,CVAE,36,0.9934760199652778
Diabetes,CVAE,37,0.9906684027777778
Diabetes,CVAE,38,0.991726345486111
Diabetes,CVAE,39,0.9946424696180555
Diabetes,CVAE,40,0.9960259331597222
Diabetes,CVAE,41,0.9981011284722222
Diabetes,CVAE,42,0.9936659071180555
Diabetes,CVAE,43,0.990573459201389
Diabetes,CVAE,44,0.9943440755208335
Diabetes,CVAE,45,0.9925808376736112
Diabetes,CVAE,46,0.9896511501736112
Diabetes,CVAE,47,0.9970974392361112
Diabetes,CVAE,48,0.9955240885416666
Diabetes,CVAE,49,0.9970838758680556
