dataset,method,n_features_removed,n_features_retained,auc_mean,auc_sd,auc_values
Breast Cancer,Column-wise,16,14,0.9697847926721167,0.00853630325079377,"[0.9454348468432975, 0.9721510883482715, 0.9642223973209888, 0.970131980695361, 0.9871220328966809, 0.9769772481040088, 0.9800551561114942, 0.9647641091303063, 0.9762877967103318, 0.9569339111592634, 0.9702304737516004, 0.9674234216487737, 0.9698365015266424, 0.9754998522604157, 0.9680636265143308, 0.9691716733970255, 0.9734561213434453, 0.9748842706589186, 0.9706983157687383, 0.9623510292524378]"
Breast Cancer,Column-wise,20,10,0.9046993499458289,0.019014911761523652,"[0.8693735841623166, 0.9043878656554714, 0.9047572146163694, 0.8932581503004038, 0.9444252930168423, 0.9139416921107062, 0.9268196592140253, 0.9029843396040579, 0.9017777996651236, 0.8804294297252044, 0.915025115729341, 0.8984044124889196, 0.8718851570964248, 0.9411011523687581, 0.896606914212548, 0.9003250270855905, 0.9216487737614498, 0.9120457007780951, 0.8943661971830986, 0.9004235201418299]"
Breast Cancer,Column-wise,24,6,0.8739929084999508,0.015069681823605956,"[0.8592041761055845, 0.8770067960208806, 0.8786319314488329, 0.8522111691125775, 0.8931350339801043, 0.8650891362158968, 0.9084260809612923, 0.8904264749335171, 0.8789520338816114, 0.8686595095045798, 0.8954742440657933, 0.8644735546143997, 0.8699399192356938, 0.880306313404905, 0.8453166551758101, 0.8540579139170689, 0.8765143307396828, 0.8712941987589875, 0.8723529991135626, 0.878385698808234]"
Breast Cancer,Column-wise,28,2,0.6093593026691617,0.023290161460031742,"[0.5765537279621786, 0.6130207820348665, 0.636240520043337, 0.5830788929380479, 0.6044272628779671, 0.6122328375849504, 0.5890869693686595, 0.6411159263271939, 0.5864769033783118, 0.5763321185856397, 0.6057076726090811, 0.6362897665714567, 0.6020634295282182, 0.6352063429528219, 0.60381168127647, 0.6492908499950754, 0.574583866837388, 0.6045011326701467, 0.6180439279030828, 0.6391214419383433]"
Breast Cancer,GMM,0,30,0.9932753865852458,0.0024735769276001203,"[0.9936964444006698, 0.9941150398896879, 0.990470796808825, 0.9953708263567419, 0.9968235989362749, 0.9933270954397715, 0.9921205555008372, 0.9930808627991726, 0.9947798680193046, 0.9923914114054959, 0.9962572638628976, 0.9872205259529204, 0.9906924061853639, 0.996651236087856, 0.9930316162710529, 0.9962818871269575, 0.9949768541317837, 0.9927853836304541, 0.9919974391805378, 0.9894366197183099]"
Breast Cancer,GMM,4,26,0.9022247119078104,0.016437786001647133,"[0.9084014576972324, 0.9225844577957254, 0.8945139367674578, 0.9161331626120358, 0.9233970255097015, 0.897025509701566, 0.8508815128533438, 0.9053235496897468, 0.8920516103614695, 0.8921747266817689, 0.9214271643849109, 0.9020732788338421, 0.8927164384910864, 0.9177582980399881, 0.9011622180636265, 0.9150251157293411, 0.9134984733576282, 0.9014576972323451, 0.8884073672806068, 0.8884812370727864]"
Breast Cancer,GMM,8,22,0.7778169014084507,0.03246750910381559,"[0.8413523096621688, 0.8280803703338914, 0.7562543090712105, 0.7871072589382448, 0.8325618043927903, 0.7674086476903378, 0.729661183886536, 0.7981877277651925, 0.7652171771890083, 0.7356446370530878, 0.791933418693982, 0.7785383630454052, 0.8071013493548704, 0.7658327587905052, 0.7227912932138285, 0.7503447256968383, 0.792598246823599, 0.7784152467251059, 0.7808037033389146, 0.7465034965034965]"
Breast Cancer,GMM,12,18,0.6929712892741061,0.03838773932890095,"[0.7654387865655471, 0.7580764306116419, 0.7060967201812272, 0.6863488624052004, 0.7683689549886732, 0.6832955776617747, 0.6268344331724613, 0.6732985324534619, 0.6992268295085197, 0.6462621885157096, 0.7255983453166551, 0.679651334580912, 0.695114744410519, 0.6924554318920517, 0.6321038116812764, 0.6821875307790801, 0.6752930168423126, 0.6970599822712498, 0.7100364424308085, 0.6566778292130404]"
Breast Cancer,GMM,16,14,0.6214407071801438,0.03168263959529158,"[0.6948685117699201, 0.6560622476115434, 0.6056338028169015, 0.5895794346498572, 0.6763025706687678, 0.5770461932433762, 0.5775140352605141, 0.5988131586723136, 0.624150497389934, 0.6061508913621589, 0.6395646606914213, 0.6157539643455138, 0.6431842805082242, 0.6510391017433271, 0.5874618339407072, 0.6063971240027579, 0.6111001674381956, 0.638136511375948, 0.6373731901900915, 0.5926819659214025]"
Breast Cancer,GMM,20,10,0.5700667290456024,0.026099942653945395,"[0.6369792179651335, 0.5920910075839653, 0.5718506845267408, 0.5495666305525461, 0.5905643652122525, 0.5237860730818478, 0.5721954102235792, 0.5359253422633705, 0.585787451984635, 0.5468580715059588, 0.5893578252733183, 0.5499359795134443, 0.6043287698217277, 0.5854919728159165, 0.5524475524475525, 0.5761597557372206, 0.5416379395252635, 0.5725401359204175, 0.5727863685610164, 0.551044026396139]"
