dataset,n_features,linkage,metric,requested_k,actual_k,largest_cluster,cluster_sizes,silhouette,ari_to_current
Breast Cancer,30,complete,correlation,8,8,7,"7,6,4,4,3,2,2,2",0.3212114132188251,
Breast Cancer,30,complete,correlation,9,9,6,"6,5,4,4,3,2,2,2,2",0.35329978451976135,
Breast Cancer,30,complete,correlation,10,10,6,"6,5,4,3,2,2,2,2,2,2",0.40289869284116,
Breast Cancer,30,complete,correlation,11,11,6,"6,4,4,3,2,2,2,2,2,2,1",0.3989211549729064,
Breast Cancer,30,complete,correlation,12,12,6,"6,4,3,2,2,2,2,2,2,2,2,1",0.42393294118926794,
Breast Cancer,30,average,euclidean,3,3,19,"19,9,2",0.1373244731638764,
Breast Cancer,30,average,euclidean,4,4,13,"13,9,6,2",0.15947933312336632,
Breast Cancer,30,average,euclidean,5,5,13,"13,6,6,3,2",0.18929332756400796,
Breast Cancer,30,average,euclidean,6,6,13,"13,6,5,3,2,1",0.18139521535997763,
Breast Cancer,30,average,euclidean,7,7,11,"11,6,5,3,2,2,1",0.19032740469180562,1.0
Breast Cancer,30,average,euclidean,8,8,10,"10,6,5,3,2,2,1,1",0.18383422729712884,
Breast Cancer,30,average,euclidean,9,9,9,"9,6,5,3,2,2,1,1,1",0.18315885575653493,
Breast Cancer,30,average,euclidean,10,10,8,"8,6,5,3,2,2,1,1,1,1",0.17992214084555969,
Breast Cancer,30,average,euclidean,11,11,8,"8,6,3,3,2,2,2,1,1,1,1",0.19896323716200037,
Breast Cancer,30,average,euclidean,12,12,7,"7,6,3,3,2,2,2,1,1,1,1,1",0.19881722409909944,
Breast Cancer,30,average,cosine,3,3,14,"14,9,7",0.2441202606709575,
Breast Cancer,30,average,cosine,4,4,10,"10,9,7,4",0.2565910754819411,
Breast Cancer,30,average,cosine,5,5,10,"10,7,6,4,3",0.30259093892229244,
Breast Cancer,30,average,cosine,6,6,10,"10,6,5,4,3,2",0.31533353528773844,
Breast Cancer,30,average,cosine,7,7,8,"8,6,5,4,3,2,2",0.3347364181939175,0.7499768239547604
Breast Cancer,30,average,cosine,8,8,6,"6,6,5,4,3,2,2,2",0.35312164885469804,
Breast Cancer,30,average,cosine,9,9,6,"6,5,5,4,3,2,2,2,1",0.3504816994645278,
Breast Cancer,30,average,cosine,10,10,6,"6,5,4,3,3,2,2,2,2,1",0.3809842755537339,
Breast Cancer,30,average,cosine,11,11,6,"6,5,3,3,2,2,2,2,2,2,1",0.4059930216350259,
Breast Cancer,30,average,cosine,12,12,6,"6,4,3,3,2,2,2,2,2,2,1,1",0.41116357198353604,
Breast Cancer,30,average,correlation,3,3,13,"13,9,8",0.22966236985735045,
Breast Cancer,30,average,correlation,4,4,13,"13,8,6,3",0.2576898876856285,
Breast Cancer,30,average,correlation,5,5,9,"9,8,6,4,3",0.28655490150549573,
Breast Cancer,30,average,correlation,6,6,9,"9,6,4,4,4,3",0.30695941900383716,
Breast Cancer,30,average,correlation,7,7,7,"7,6,4,4,4,3,2",0.32643450887912917,0.5761772853185596
Breast Cancer,30,average,correlation,8,8,7,"7,6,4,4,3,2,2,2",0.3461841201477134,
